软体动物，介壳形状像心脏，表面暗褐色，有轮状纹，内面色紫，栖淡水软泥中。肉可食，壳可入药。亦称“扁螺”。 | 蚬
城墙 | 墉
高墙 | 墉
用指或爪挠 | 抓
用手或爪拿取 | 抓
捉捕 | 抓
把握住，不放过 | 抓
特别注意，加强领导 | 抓
引人注意 | 抓
古同“昂”，抬起；扬起；高；昂扬，情绪高、气势盛。 | 卬
代词，表示第一人称，我 | 卬
古地名。 | 卬
姓氏。 | 卬
古同“仰”，仰慕；仰仗；仰望；向上。 | 卬
套在骡马背上便于骑坐的东西 | 鞍
〔～山〕山名，在中国山东省。亦作“劳山”、“牢山”。 | 崂
（崂） | 崂
倒（），下陷 | 塌
下垂 | 塌
安定，镇定 | 塌
遮拦的东西 | 栏
养家畜的圈（） | 栏
报刊或广播、电视按内容、性质划分的版面或专门的时间；亦指出版物版面的部位 | 栏
纸、书、织物上的格子 | 栏
表格中区分项目的格子 | 栏
〔～玲〕象声词，多形容玉石撞击声。 | 玎
〔～当〕象声词，形容金属、磁器等撞击声。亦作“丁当”、“叮当”。 | 玎
〔木～〕落叶灌木或小乔木，叶卵形互生，花钟形，单生，通常有红、白、紫等颜色。茎的纤维可造纸或做蓑衣，花和种子可入药。 | 槿
舌头尝东西所得到的感觉 | 味
鼻子闻东西所得到的感觉 | 味
情趣 | 味
体会，研究 | 味
量词，指中草药的一种 | 味
找，搜求 | 寻
古代的长度单位（一寻等于八尺） | 寻
美好盛大的样子。晋•陆云•《高冈诗四首之一》 | 猗
助词。犹“兮”。相当于“啊”，用于句末，表示语气。《诗经•魏风•伐檀》 | 猗
叹词。常用于句首，表示赞叹。相当于“啊”。《诗经•齐风•猗嗟》 | 猗
姓。如春秋时鲁有猗顿。 | 猗
加，超越。《诗经•小雅•巷伯》 | 猗
依靠。通“倚”。《诗经•小雅•车攻》 | 猗
牵引，束而采之。通“掎”。《诗经•豳风•七月》 | 猗
〔于～〕老虎的别称。 | 菟
〔～裘〕古地名，在今中国山东省泗水县；古代借指退隐者的居处。 | 菟
〔～丝子〕一年生草本植物，茎细长，常缠绕在豆科植物上，对农作物有害。秋初开小花，子实入药。 | 菟
哺乳动物，雄的脖子上有长鬣，多产于非洲及印度西北部（通常称“狮子”；古亦作“师子”） | 狮
农历每月初一 | 朔
始 | 朔
北方 | 朔
〔～水〕水名，在中国山东省。亦称“大汶河”。 | 汶
〔～～〕心中昏暗不明，如“人又谁能以身之察察，受物之～～者乎？” | 汶
寻求 | 探
侦察打听 | 探
做侦察工作的人 | 探
访问，看望 | 探
头或上体伸出，手伸入 | 探
山尖而高 | 峤
山道。 | 峤
回话，回复 | 答
受了别人的好处，还（）报别人 | 答
义同（一），用于“答应”“答理”等词。 | 答
煮 | 烹
一种做菜的方法，先用热油略炒之后，再加入液体调味品，迅速搅拌，随即盛出 | 烹
腹下的肥肉 | 腴
肥胖 | 腴
土地肥沃 | 腴
丰裕。 | 腴
覆盖在陶瓷、搪瓷表面的玻璃质薄层 | 釉
平坦的场地 | 坪
能够 | 克
战胜，攻下 | 克
制伏 | 克
严格限定 | 克
消化 | 克
公制重量单位或质量单位 | 克
中国西藏地方的容量单位，一克青稞约二十五市斤；亦是其地积单位，播种一克种子的土地称为一克地，约合一市亩。 | 克
细小 | 纤
吝啬 | 纤
拉船前进的绳子 | 纤
身子高 | 颀
胸部的两侧 | 肋
像肋骨的 | 肋
〔～脦〕衣裳肥大，不整洁。 | 肋
〔九～〕山名，在湖南省。相传是舜安葬的地方；又指九嶷山之神，如 | 嶷
勤奋努力。 | 懋
古同“茂”，盛大。 | 懋
勉励，鼓励。 | 懋
美。 | 懋
高兴。 | 懋
用金属环节连套而成的索子 | 链
计量海洋上距离的长度单位，十分之一海里为一链，合米。 | 链
古同“两”。 | 両
小河沟（多用于地名） | 浜
〔蚯～〕见“蚯”。 | 蚓
错误，错乱 | 舛
违背 | 舛
树木丛生 | 郁
忧愁，愁闷 | 郁
有文彩 | 郁
香气浓厚 | 郁
姓。 | 郁
开始，初始 | 肇
引发 | 肇
特殊功劳 | 勋
积聚，储藏，保存 | 蓄
存于心中 | 蓄
等待 | 蓄
讥笑 | 讪
不好意思，难为情的样子 | 讪
正直无私，为大家利益 | 公
共同的，大家承认的 | 公
国家，社会，大众 | 公
让大家知道 | 公
封建制度最高爵位 | 公
敬辞，尊称男子 | 公
雄性的 | 公
对长辈和年老人的称呼 | 公
姓。 | 公
同“显”（日本汉字）。 | 顕
古同“喜”。 | 憙
指容易发生某种变化 | 憙
容貌美好，多指笑容 | 嫣
金钱和物资 | 财
古同“才”（才能；才干。仅仅）。 | 财
古同“裁”，裁决。 | 财
〔木～〕常绿小乔木或灌木，开白色或暗黄色小花，有特殊的香气。花供观赏，亦可做香料；这种植物的花，通称“桂花”；指加肉、木耳等烹调的鸡蛋，如“木～肉”。 | 樨
龟甲的边。 | 冉
〔～～〕毛、枝条等柔软下垂；如“柳枝～～”；慢慢地，如“月亮～～升起”。 | 冉
姓。 | 冉
田间稍稍高起的小路 | 埂
地势高起的长条地方 | 埂
用泥土筑起的堤防 | 埂
中国古代称东北方的民族。 | 貊
古书上说的一种野兽。 | 貊
把印象保持在脑子里 | 记
把事物写下来 | 记
记载事物的书册或文字 | 记
符号，标识（） | 记
古时的一种公文 | 记
皮肤上的生下来就有的深色斑 | 记
量词，指打一下 | 记
同“欣”。 | 忻
开导，启发 | 忻
姓。 | 忻
〔～～〕和蔼的样子，如“～～穆穆，君子之态。” | 旼
古同“旻”。 | 旼
每四年加一日，称“闰日”。有闰日的这一年称“闰年”。这是公历的“闰”。中国的农历，二年或三年，需要加一个月，所加的这个月称“闰月”，平均十九年有七个闰月。 | 闰
偏，副，对“正”而言 | 闰
玩耍，把玩 | 弄
做，干 | 弄
设法取得 | 弄
搅扰 | 弄
耍，炫耀 | 弄
不正当地使用 | 弄
奏乐或乐曲的一段、一章 | 弄
古代百戏乐舞中指扮演角色或表演节目。 | 弄
方言，小巷，胡同 | 弄
管乐器名，古代的“排箫”是许多管子排在一起的，现代用一根管子，竖着吹，亦称“洞箫”。 | 箫
弓的末端。 | 箫
甜酒。 | 醴
甜美的泉水 | 醴
践踏 | 蹂
深广 | 汪
液体聚集在一个地方 | 汪
量词，用于液体 | 汪
姓。 | 汪
江河定期的涨水 | 汛
洒 | 汛
古同“讯” | 汛
诚心尽力 | 忠
火花，火焰。 | 焱
倚着，挨近 | 靠
依赖 | 靠
信托 | 靠
传统戏剧中武将所穿的铠甲 | 靠
具有杰出才能的人 | 豪
气魄大，直爽痛快，没有拘束的 | 豪
强横的，有特殊势力的 | 豪
古同“毫”，极小。 | 豪
鸟兽或昆虫叫 | 鸣
发出声音，使发出声音 | 鸣
声明，发表意见、情感 | 鸣
闻名，著称 | 鸣
古代用蓍草占卦 | 筮
拔 | 擢
提拔，提升 | 擢
何，什么 | 曷
怎么，为什么 | 曷
古同“盍”，何不。 | 曷
何时 | 曷
直立，直立的，与“横”相对 | 竖
汉字笔形之一，自上往下。 | 竖
上下的或前后的方向，与“横”相对 | 竖
旧称未成年的童仆，小臣，引申为卑贱的 | 竖
清澈。 | 滢
古代酒器，青铜制，盛行于中国商代和西周初期，喇叭形口，细腰，高圈足。 | 觚
古代用来书写的木简 | 觚
棱角 | 觚
剑柄 | 觚
古同“弧”，独立不群。 | 觚
〔～尬〕处境窘困，不易处理。神色、态度不正常。 | 尴
（尴） | 尴
古同“炳”。 | 昺
面容，脸色，脸面 | 颜
色彩 | 颜
姓。 | 颜
去掉 | 除
改变，变换 | 除
不计算在内 | 除
算术中用一个数去分另一个数，是“乘”的反运算 | 除
台阶 | 除
任命官职 | 除
减少 | 损
使失去原来的使用效能 | 损
使蒙受害处 | 损
用刻薄的话挖苦人 | 损
刻薄，毒辣 | 损
交付，送出 | 发
放，射 | 发
表达，阐述 | 发
散开，分散 | 发
开展，张大，扩大 | 发
打开，揭露 | 发
产生，出现 | 发
食物因发酵或水浸而澎涨 | 发
显现，显出 | 发
开始动作 | 发
引起，开启 | 发
公布，宣布 | 发
量词，用于枪弹、炮弹。 | 发
人的前额、双耳和头颈部以上生长的毛 | 发
〔～水〕今千河的古称，源出中国甘肃省，流经陕西省入渭河。 | 汧
存在 | 有
表示所属 | 有
表示发生、出现 | 有
表示估量或比较 | 有
表示大、多 | 有
用在某些动词前面表示客气 | 有
无定指，与“某”相近 | 有
词缀，用在某些朝代名称的前面 | 有
古同“又”，表示整数之外再加零数。 | 有
果实中坚硬并包含果仁的部分 | 核
像核的东西 | 核
仔细地对照、考察 | 核
翔实正确 | 核
义同（一），用于某些口语词，如“杏核儿”。 | 核
古代“姓”和“氏”分用。姓是总的，氏是分支，后来姓和氏不分，可以混用。 | 氏
古代称呼帝王贵族等，后称呼名人、专家 | 氏
〔阏（）～〕见“阏”。 | 氏
〔月～〕见“月”。 | 氏
〔～瀁（）〕（水）深广，如“～瀁（）弥漫，浩如河汉。” | 滉
夺，硬拿 | 抢
赶快，赶紧，争先 | 抢
刮，擦 | 抢
当面责备或讽刺 | 抢
碰，撞 | 抢
同“戗”。 | 抢
〔～攘〕纷乱的样子，如“支离～攘兮，遭世孔疚”。 | 抢
（抢） | 抢
古同“译”。 | 訳
尽量地使出力量 | 努
突出，撅着 | 努
因用力太过，身体内部受伤 | 努
思念，想念 | 怀
包藏 | 怀
胸前 | 怀
心中意 | 怀
安抚 | 怀
归向，使降顺 | 怀
古同“归”。 | 帰
同“麻”。 | 蔴
水中的陆地 | 洲
大陆及其附属岛屿的总称 | 洲
落叶灌木，叶有长柄，掌状分裂，开蓝紫色小花，枝条可编筐篮等（亦称“楚”） | 荆
古代用荆条做的刑仗 | 荆
中国古代“九州”之一，春秋时楚国别称 | 荆
旧时对人谦称自己的妻子 | 荆
姓。 | 荆
女子容貌美丽。 | 嬅
古女子人名用字。 | 嬅
好铁。 | 锴
古同“窟”，洞穴。 | 堀
穿穴 | 堀
冲起 | 堀
过多，过甚 | 淫
渐浸，浸渍 | 淫
迷惑 | 淫
在男女关系上态度或行为不正当 | 淫
放纵，沉溺 | 淫
一种金属元素，银白色结晶，有延展性。它的化合物在工业上、建筑工程上和医药上用途很大。 | 钙
敦厚 | 惇
劝勉，勤勉 | 惇
推崇，尊重 | 惇
推测，推想 | 猜
疑心，嫌疑 | 猜
〔崎（岖））～〕见“崎”。 | 岖
古代官府用以征召或声讨的文书 | 檄
同“侄”。 | 姪
鸟，品种很多，翅膀大，常成群飞翔。有的经人工驯化后能够传递书信、常用做和平的象征 | 鸽
步行过水 | 涉
到，经历 | 涉
牵连，关连 | 涉
动，着（） | 涉
地支的第九位，属猴。 | 申
用于记时 | 申
陈述，说明 | 申
重复，一再 | 申
中国上海市的别称。 | 申
姓。 | 申
一个时代，有时特指三十年 | 世
一辈一辈相传的 | 世
人间，以与天上相区别 | 世
自然界和人类社会一切事物的总和；全地球、人间或宇宙；宇宙的一部分 | 世
姓。 | 世
变更，更换 | 改
姓。 | 改
砍断 | 刽
古同“黑”。 | 黒
〔～河〕水名，源于中国河南省，流经安徽省入淮河。 | 颍
（颍） | 颍
棍子 | 棒
体力强，能力大，成绩好，水平高 | 棒
极悲哀，大哭 | 恸
系船用的粗绳或铁索 | 缆
泛指许多股拧成的像缆的东西 | 缆
用绳索栓住 | 缆
手抵物体向外或向前用力使物移动 | 推
使用工具向前移动进行工作 | 推
使事情开展 | 推
进一步想，由已知之点想到其它 | 推
往后挪动（时间上） | 推
辞让，脱卸 | 推
举荐，指出某人优点 | 推
让出，献出 | 推
中国商代最后的君主，相传是暴君。 | 纣
〔～赖〕狡诈；无赖。 | 惫
极度疲乏 | 惫
高大 | 巍
哭，出声地哭 | 啼
鸟兽叫 | 啼
健壮。 | 佶
正。 | 佶
取暖、做饭或冶炼用的设备，种类很多，普通用煤火发热，有用煤气、电力的 | 炉
古同“垆”，古代酒店前放置酒坛的炉形土墩，借指酒店。 | 炉
